Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12064,2022-02-24,-0.004866651,0.0518519597,0.0530062779,21,100
Market-Adjusted Model,12065,2022-02-24,0.0337162744,0.0902763491,0.091589203,21,100
Market-Adjusted Model,12066,2022-02-24,0.1966527599,0.249208701,0.2545256885,21,100
Market-Adjusted Model,12068,2022-02-24,-0.076426719,-0.016080352,-0.01855379,21,100
Market-Adjusted Model,12070,2022-02-24,0.2974273626,0.3265383439,0.3553002911,21,100
Market-Adjusted Model,12073,2022-02-24,-0.036705917,0.0284848694,0.0211670117,21,100
Market-Adjusted Model,12075,2022-02-24,-0.089697501,-0.034637329,-0.031824572,21,100
Market-Adjusted Model,12076,2022-02-24,-0.192399017,-0.141818915,-0.134526089,21,100
Market-Adjusted Model,12078,2022-02-24,-0.073303567,-0.013801563,-0.015430639,21,100
Market-Adjusted Model,12082,2022-02-24,-0.176618704,-0.107679399,-0.118745776,21,100
Market-Adjusted Model,12084,2022-02-24,-0.108774004,-0.044388788,-0.050901076,21,100
Market-Adjusted Model,12098,2022-02-24,-0.149228843,-0.10084462,-0.091355915,21,100
Market-Adjusted Model,12103,2022-02-24,-0.032837199,0.0242307024,0.0250357292,21,100
Market-Adjusted Model,12105,2022-02-24,0.006981466,0.0669819838,0.0648543945,21,100
Market-Adjusted Model,12109,2022-02-24,0.0256945045,0.0869952111,0.083567433,21,100
Market-Adjusted Model,12146,2022-02-24,0.0328698167,0.0967917694,0.0907427452,21,100
Market-Adjusted Model,12166,2022-02-24,0.0536779252,0.1130183739,0.1115508537,21,100
Market-Adjusted Model,12189,2022-02-24,-0.046575339,0.0125971757,0.0112975898,21,100
Market-Adjusted Model,12209,2022-02-24,0.3499999991,0.3909334195,0.4078729276,21,100
Market-Adjusted Model,12211,2022-02-24,0.1003456645,0.1554283641,0.158218593,21,100
Market-Adjusted Model,12219,2022-02-24,-0.156764387,-0.110744428,-0.098891459,21,100
Market-Adjusted Model,12226,2022-02-24,-0.017861654,0.0442761037,0.0400112746,21,100
Market-Adjusted Model,12266,2022-02-24,-0.085371728,-0.018140741,-0.027498799,21,100
Market-Adjusted Model,12287,2022-02-24,-0.0608588,-0.004111435,-0.002985871,21,100
Market-Adjusted Model,12289,2022-02-24,-0.031616875,0.0249462592,0.0262560531,21,100
Market-Adjusted Model,12292,2022-02-24,0.029807532,0.0880817091,0.0876804605,21,100
Market-Adjusted Model,12293,2022-02-24,-0.142119763,-0.08873533,-0.084246835,21,100
Market-Adjusted Model,12294,2022-02-24,-0.074245144,-0.016126088,-0.016372215,21,100
Market-Adjusted Model,12295,2022-02-24,-0.037537433,0.0200670291,0.0203354952,21,100
Market-Adjusted Model,12296,2022-02-24,0.0076371047,0.0662649022,0.0655100332,21,100
Market-Adjusted Model,12297,2022-02-24,-0.019268147,0.0400394259,0.0386047814,21,100
Market-Adjusted Model,12301,2022-02-24,-0.004286133,0.0547111709,0.053586796,21,100
Market-Adjusted Model,12302,2022-02-24,-0.015277861,0.0442122457,0.0425950673,21,100
Market-Adjusted Model,12303,2022-02-24,-0.038924583,0.0208398899,0.0189483457,21,100
Market-Adjusted Model,12304,2022-02-24,-0.026362524,0.0334095344,0.0315104047,21,100
Market-Adjusted Model,12305,2022-02-24,-0.056310153,0.0013272718,0.0015627757,21,100
Market-Adjusted Model,12307,2022-02-24,0.1515151225,0.2356169426,0.209388051,21,100
Market-Adjusted Model,12308,2022-02-24,-0.07714406,-0.020226723,-0.019271131,21,100
Market-Adjusted Model,12310,2022-02-24,0.4444443477,0.4735777615,0.5023172762,21,100
Market-Adjusted Model,12313,2022-02-24,-0.058283385,-0.000621251,-0.000410456,21,100
Market-Adjusted Model,12314,2022-02-24,-0.077041891,-0.018948364,-0.019168963,21,100
Market-Adjusted Model,12315,2022-02-24,-0.038028509,0.0196471005,0.0198444192,21,100
Market-Adjusted Model,12316,2022-02-24,-0.054966117,0.0030009764,0.0029068112,21,100
Market-Adjusted Model,12317,2022-02-24,-0.038083453,0.0227242934,0.0197894758,21,100
Market-Adjusted Model,12318,2022-02-24,-0.01407074,0.0458324498,0.0438021882,21,100
Market-Adjusted Model,12321,2022-02-24,0.0049254552,0.0638595847,0.0627983837,21,100
Market-Adjusted Model,12325,2022-02-24,0.2266188058,0.2936641308,0.2844917344,21,100
Market-Adjusted Model,12326,2022-02-24,0.1259514712,0.1784318157,0.1838243997,21,100
Market-Adjusted Model,12329,2022-02-24,0.0188498941,0.0771018081,0.0767228227,21,100
Market-Adjusted Model,12331,2022-02-24,-0.047500099,0.0095372093,0.0103728293,21,100
Market-Adjusted Model,12332,2022-02-24,0.1295330422,0.1895771126,0.1874059707,21,100
Market-Adjusted Model,12333,2022-02-24,0.003064544,0.0685077469,0.0609374725,21,100
Market-Adjusted Model,12334,2022-02-24,-0.093935365,-0.039443519,-0.036062437,21,100
Market-Adjusted Model,12338,2022-02-24,0.1229813322,0.1752460798,0.1808542607,21,100
Market-Adjusted Model,12339,2022-02-24,-0.280236004,-0.178845143,-0.222363075,21,100
Market-Adjusted Model,12341,2022-02-24,-0.039536623,0.0175464639,0.0183363058,21,100
Market-Adjusted Model,12345,2022-02-24,-0.003945122,0.0580830976,0.0539278061,21,100
Market-Adjusted Model,12350,2022-02-24,-0.497652571,0.2243068958,-0.439779642,21,100
Market-Adjusted Model,12355,2022-02-24,-0.143952759,-0.090301259,-0.086079831,21,100
Market-Adjusted Model,12358,2022-02-24,-0.370432839,-0.369707913,-0.31255991,21,100
Market-Adjusted Model,12360,2022-02-24,-0.004549608,0.0779874743,0.0533233203,21,100
Market-Adjusted Model,12363,2022-02-24,-0.123636359,-0.066381351,-0.06576343,21,100
Market-Adjusted Model,12366,2022-02-24,0.1247711594,0.1807816157,0.1826440879,21,100
Market-Adjusted Model,12367,2022-02-24,-0.271500852,-0.231477134,-0.213627923,21,100
Market-Adjusted Model,12368,2022-02-24,-0.056643649,-0.000512027,0.00122928,21,100
Market-Adjusted Model,12369,2022-02-24,-0.153861718,-0.100064607,-0.09598879,21,100
Market-Adjusted Model,12370,2022-02-24,0.1942902109,0.2382817547,0.2521631394,21,100
Market-Adjusted Model,12372,2022-02-24,0.2536817251,0.2935242653,0.3115546536,21,100
